Venue ID,Rating
55f81cd2498ee903149fcc64,7.7
579f74eb498e9a4d6caabeda,8.8
5bafd8419de23b002c772a72,8
4aafdf93f964a520f66420e3,6.4
5c092ec2d1a402002cd083cb,8.2
55aa54bc498eac980f832bc9,8
4fef2f45e4b0562c835d6b7c,7.2
5b0345aa9ba3e5002c6bfeb8,NaN
58232a8d8b624d27650026e8,7.9
4ef4c5b099111bd0a9b8e9c2,7.7
59b6f86861f0700444627663,7.5
5b0edcd498fbfc002cfcad0e,9
58b2f2f60037eb7f1a778535,7.4
5145d153e4b0887518ec0317,7
4b69efa9f964a52014bd2be3,6.9
4a819c70f964a52006f71fe3,6.4
4e9078d6b63456ab9570ec12,8.6
59ff7d490a464d2738a23962,7.7
599f1eb6fd16bb4a5da9d3f9,7.1
4b0807abf964a520890223e3,6
4a773e0df964a520f1e31fe3,8.1
589634906c682b1f845ae6dc,7.9
4fc64ab9e4b0acb95c508a5f,7.9
544e883b498e01e80f241740,7.5
560e84e2498ee6bcb7ea28be,7.1
5c683caaf96b2c00397a8609,8.4
5a8ce147bed4832067bea15e,9
53bad291498e3c01b5629fe8,8.1
5dd83fae6690dd00088cb92f,7.2
53a46354498e7d482877cf67,7.4
526d9114498ec8efda93fcce,6.9
54566365498e4fb5ed4fe987,8.6
5491e424498e93529c115699,7.8
57f27362498ef61538900f04,8.7
516bf3c5e4b0e8d4443da599,8
4caf199db4b0a35dc8033ece,7.8
59c5401847f8762d3d4e023a,8.1
572759e0498efe726c551007,7.9
536fe442498e193806dedd8f,7.4
519a94e3498e722d3d9ae1bf,9
5c13bf838afbe0002de55061,8.4
569aa89d498e5a25c05fdfec,8
4f3a9e05bb3d2fbe725ca57a,8.2
55e9f118498eda28f897f9e3,8.4
573498df498e6df2eb8b36a7,8.9
5f3ecdaa960de027c22a9e80,9.2
3fd66200f964a52059e61ee3,8.6
49d36ca4f964a520f75b1fe3,8.5
5bb4cdac28374e002bac356a,8.5
47fdf872f964a520e14e1fe3,8.4
4f6a28d5e4b085e9a4b3c5e1,7.5
4ea0afbf9adf1e334e4cc0e6,8.5
4a118d01f964a52023771fe3,8.5
57bf76a2498e98061d338fe3,8.2
5d920337a6193400088e446d,8.7
49d2b43ef964a520cb5b1fe3,8.4
5b8c24546dcf04002c9c673c,8.9
5418490f498e4d3bb75c7bcc,8.5
546cb126498eabb0f206d61f,8.6
5d864371ebc5f80008c24794,8
54733f59498e78d5fb3a0755,7.7
5f9d9d9010b05638bb879711,8.4
40f32600f964a520720a1fe3,8
5b44c582d8096e002ccd329a,8.5
580226bb38fae0dde3f6bd9a,7.5
4a704000f964a52040d71fe3,5.8
4ce41f161594236ac316fb49,7.7
5dba113267232c000803cb37,7.4
59bd506ce2d4aa3d68b99a88,8.4
574456e5498e39c73d234da1,9
5ef8e6aef272db0008a81a76,8.4
5cf965947564f7002c79aa21,9
500d3cede4b0f6804faa90a8,8.3
5f11ef5e938b7c3b5ead3c4f,8.9
561a8cd8498ed81f4384d0aa,8
5dfa92d864192300086a1931,8.7
566de7e3498e30e4798117ae,8.3
599d7c7e61f0700d414c282b,8.2
5abb96b31f8ed641d150eafa,8.6
51ae935b7dd2de27a217609e,7.8
57fd457a498e39cd34012586,7.4
552a7fbb498e1e8662ac8146,7.5
56c73a4a498ea736d7388245,8.6
5682a50a498e25a5a1d870a2,8.5
4f22b060e4b02a95fc886761,8.3
5c7d2d843d4791002c881f1c,7.7
597a11ccb2958f056b27c60d,8
571b7b0b38faaa76e596e8a1,7.5
56e7f585498ed6598b4030cd,7.5
5a09b45b6dcf043c23d5ad4e,8.6
59ac2ec6fdb9a734dd847025,8.7
4aa52d50f964a520834720e3,8.7
5942ed444c9be62191dbaf80,7.4
53ce4d05498e4047bd6e9519,8.7
55ca5d85498e594f7095854a,7.8
51b70eb9454a121ab89e5c42,7
507db18ae4b0f570fa6bf5bc,6.1
5d7bb678290f5e00075785d9,7.3
457bd9adf964a520f63e1fe3,7.5
5890d8aecc5b6a43d6daa0f9,8.2
5b9d8e69b6eedb002c72a39e,8.2
5d2763ff8c3f0400235dbd57,8.4
